COG Customer Item Number,TEC Item Number,Item Descripton,Supplier Code,Subcategory,Price
360164,322,CLEVIS SWINGING FOR SPOOL INSULATOR,POW06,3CLEVIS    ,5.3
360164,327,CLEVIS W/O 3 SPOOL INSUL (J10),WES30,3CLEVIS    ,5.76
360164,R1300,CLEVIS FIXED FOR SPOOL INSULATOR,POW06,3CLEVIS    ,4.54
360166,C15M36,BRACKET TRANSFORMER MTG DOUBLE MOUNT,209,3BRACKET   ,0
360169,PDM-4991,GUARD WILDLIFE 100A 25KV CUTOUT GREY 3 BUTTON,PLA03,3WILDLIFE  ,17.37
360171,G5,CLAMP GROUND ROD 5/8 10 SOL - #2 STR,GAL04,3CONNMECH  ,2.04
360172,70380343,GUARD WILDLIFE 12IN FOR OH BUSHING/ARRESTER SHEDLOCK,CEN10,3WILDLIFE  ,8.64
360172,KE1077R,GUARD WILDLIFE TRANSFORMER 72KV 5.2 INCH,KAD01,3WILDLIFE  ,0
360173,70380340,GUARD WILDLIFE 5-1/2IN FOR OH BUSHING/ARRESTER MINI-SHEDMOUNT,CEN10,3WILDLIFE  ,4.68
360175,SUNYYK2.5NB7,"LABEL LETTER-C 2.5IN TALL '7""  YELLOW ON BLACK HIGHLY REFLECTIVE",ELE01,3SIGNS     ,0
360176,W20-1,CLAMP WEDGE 1/0- #4 ALUM BAIL,THO05,3CONNCOMP  ,2.82
360178,7195,CLAMP WEDGE 2-6,MAC10,3CONNCOMP  ,1.72
360178,W621,CLAMP WEDGE 2-6 ALUM BAIL,THO05,3CONNCOMP  ,1.84
360186,ASOD6841N,CLAMP DEAD END SHOE #4 - 336.4 ACSR SIDE LOADING,ARK05,3DESHOES   ,11.42
360190,WR399,H-TAP 3/0-4/0 RUN #1-2/0 TAP,THO05,3CONNCOMP  ,1.07
360192,WR379,H-TAP 3/0-4/0 RUN #6-#2 TAP,THO05,3CONNCOMP  ,0.75
360194,WR-835,H-TAP 4/0-477 RUN 1/0-4/0 TAP,THO05,3CONNCOMP  ,3.93
360195,WR775,H-TAP 4/0-397 RUN AND TAP,THO05,3CONNCOMP  ,5.55
360198,WR989,H-TAP 795-795 ULTIMATE RANGE,THO05,3CONNCOMP  ,33.47
360200,CC44,C-TAP #6 SOL - 4 STR RUN  #4 SOL - 4 STR CU TAP,THO05,3CONNCOMP  ,0.87
360201,WCY80,CONNECTOR WEJTAP 556-795 TO 4/0-3/0,FCI02,3CONNSHOOT ,0
360202,602121-6,SHOOT ON TAP 795 - 336.4,TYC02,3CONNSHOOT ,34.16
360207,69338-4,SHELL AMPACT CARTRIDGE YELLOW,TYC02,3CONNSHOOT ,1.55
360208,WCY85,CONNECTOR WEJTAP 556-663 TO 715-795,FCI02,3CONNSHOOT ,0
360209,LER394Z-02,DISCONNECT 25KV 900A LINE TAP LB HOOKS W/ NO HANGERS,SIE02,3SWITCH1PH ,0
360210,WCY54,CONNECTOR WEJTAP 397.5-4/0 TO 266.8-2/0,FCI02,3CONNSHOOT ,20.94
360212,2B20,CONNECTOR 2-BOLT CU/AL 2 - 2/0 MCM RUN 8 - 2/0 MCM TAP,THO05,3CONNMECH  ,0
360213,602000,SHOOT ON TAP 336.4 - 2,TYC02,3CONNSHOOT ,22.79
